departamento_residencia,municipio_residencia,births
CHOCO,UNION PANAMERICANA,2
ANTIOQUIA,NARIÑO,2
ANTIOQUIA,ANGOSTURA,2
SUCRE,SUCRE,2
CHOCO,CONDOTO,2
CHOCO,TADO,2
CHOCO,UNGUIA,2
ANTIOQUIA,SAN JOSE DE LA MONTAÑA,2
MAGDALENA,PLATO,2
BOLIVAR,CARTAGENA DE INDIAS,2
CORDOBA,LORICA,2
CORDOBA,TUCHIN,2
CUNDINAMARCA,SOACHA,2
NARINO,BARBACOAS,2
CUNDINAMARCA,PUERTO SALGAR,2
CALDAS,RIOSUCIO,1
CESAR,VALLEDUPAR,1
BOLIVAR,MOMPOS,1
SANTANDER,BARRANCABERMEJA,1
HUILA,ISNOS,1
VALLE DEL CAUCA,EL AGUILA,1
"ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",SAN ANDRES,1
NORTE DE SANTANDER,LOS PATIOS,1
HUILA,VILLAVIEJA,1
VALLE DEL CAUCA,GUACARI,1
SANTANDER,BUCARAMANGA,1
SUCRE,SANTIAGO DE TOLU,1
CAUCA,SUCRE,1
CORDOBA,SAN PELAYO,1
QUINDIO,ARMENIA,1
RISARALDA,BALBOA,1
SANTANDER,LANDAZURI,1
CAUCA,SAN SEBASTIAN,1
ANTIOQUIA,ARBOLETES,1
CAUCA,ARGELIA,1
CHOCO,CERTEGUI,1
CESAR,AGUACHICA,1
BOLIVAR,SAN JUAN NEPOMUCENO,1
SANTANDER,SUCRE,1
CAUCA,SANTANDER DE QUILICHAO,1
BOYACA,AQUITANIA,1
SANTANDER,SAN VICENTE DE CHUCURI,1
CORDOBA,SAN ANTERO,1
HUILA,ACEVEDO,1
CORDOBA,SAN BERNARDO DEL VIENTO,1
CHOCO,MEDIO ATRATO,1
CALDAS,SUPIA,1
NARINO,PASTO,1
CHOCO,NUEVO BELEN DE BAJIRA,1
CHOCO,BOJAYA,1
CHOCO,CARMEN DEL DARIEN,1
META,GUAMAL,1
CHOCO,BELEN DE BAJIRA,1
META,ACACIAS,1
CHOCO,BAJO BAUDO,1
TOLIMA,LERIDA,1
CHOCO,LLORO,1
CORDOBA,CHINU,1
LA GUAJIRA,MANAURE,1
HUILA,NEIVA,1
NORTE DE SANTANDER,OCAÑA,1
MAGDALENA,CIENAGA,1
SUCRE,SAN JOSE DE TOLUVIEJO,1
CORDOBA,SAHAGUN,1
CAUCA,CALOTO,1
CORDOBA,CANALETE,1
CALDAS,MARMATO,1
CHOCO,RIOSUCIO,1
CHOCO,MEDIO BAUDO,1
CORDOBA,PUERTO ESCONDIDO,1
